TIMESTAMP,NODE,EVENT,VALUE
2025-07-02T10:00:01,fusion_engine,START,ok
2025-07-02T10:00:02,lidar_front,FRAME,range=12.34
2025-07-02T10:00:02,camera_left,FRAME,features=42
2025-07-02T10:00:03,fusion_engine,FUSION,confidence=0.95
2025-07-02T10:00:03,imu_node,IMU,accel_x=0.12
2025-07-02T10:00:04,lidar_front,FRAME,range=11.89
2025-07-02T10:00:04,camera_left,FRAME,features=38
2025-07-02T10:00:05,fusion_engine,FUSION,confidence=0.94
2025-07-02T10:00:05,imu_node,IMU,accel_x=0.11
2025-07-02T10:00:06,lidar_front,FRAME,range=13.01
2025-07-02T10:00:06,camera_left,DROPOUT,frames_missed=3
2025-07-02T10:00:07,fusion_engine,FUSION,confidence=0.12
2025-07-02T10:00:07,lidar_front,FRAME,range=12.45
2025-07-02T10:00:08,camera_left,DROPOUT,frames_missed=5
2025-07-02T10:00:09,fusion_engine,START,reinit
2025-07-02T10:00:09,camera_left,FRAME,features=41
2025-07-02T10:00:10,fusion_engine,FUSION,confidence=0.91
